,Players,last_letter,player_id,url
0,Alex Abrines,a,abrinal01,http://www.basketball-reference.com/players/a/abrinal01.html
1,Quincy Acy,a,acyqu01,http://www.basketball-reference.com/players/a/acyqu01.html
2,Steven Adams,a,adamsst01,http://www.basketball-reference.com/players/a/adamsst01.html
3,Arron Afflalo,a,afflaar01,http://www.basketball-reference.com/players/a/afflaar01.html
4,Alexis Ajinca,a,ajincal01,http://www.basketball-reference.com/players/a/ajincal01.html
5,Cole Aldrich,a,aldrico01,http://www.basketball-reference.com/players/a/aldrico01.html
6,LaMarcus Aldridge,a,aldrila01,http://www.basketball-reference.com/players/a/aldrila01.html
7,Lavoy Allen,a,allenla01,http://www.basketball-reference.com/players/a/allenla01.html
8,Tony Allen,a,allento01,http://www.basketball-reference.com/players/a/allento01.html
9,Al-Farouq Aminu,a,aminual01,http://www.basketball-reference.com/players/a/aminual01.html
10,Chris Andersen,a,anderch01,http://www.basketball-reference.com/players/a/anderch01.html
11,Alan Anderson,a,anderal01,http://www.basketball-reference.com/players/a/anderal01.html
12,Justin Anderson,a,anderju01,http://www.basketball-reference.com/players/a/anderju01.html
13,Kyle Anderson,a,anderky01,http://www.basketball-reference.com/players/a/anderky01.html
14,Ryan Anderson,a,anderry01,http://www.basketball-reference.com/players/a/anderry01.html
15,Giannis Antetokounmpo,a,antetgi01,http://www.basketball-reference.com/players/a/antetgi01.html
16,Carmelo Anthony,a,anthoca01,http://www.basketball-reference.com/players/a/anthoca01.html
17,Joel Anthony,a,anthojo01,http://www.basketball-reference.com/players/a/anthojo01.html
18,Trevor Ariza,a,arizatr01,http://www.basketball-reference.com/players/a/arizatr01.html
19,Darrell Arthur,a,arthuda01,http://www.basketball-reference.com/players/a/arthuda01.html
20,Omer Asik,a,asikom01,http://www.basketball-reference.com/players/a/asikom01.html
21,D.J. Augustin,a,augusdj01,http://www.basketball-reference.com/players/a/augusdj01.html
22,Luke Babbitt,b,babbilu01,http://www.basketball-reference.com/players/b/babbilu01.html
23,Ron Baker,b,bakerro01,http://www.basketball-reference.com/players/b/bakerro01.html
